data,label
上海浦东近年来颁布实行了涉及经济、贸易、建设、规划、科技、文教等领域的七十一件法规性文件,1
确保了浦东开发的有序进行,1
浦东开发开放是一项振兴上海,0
建设现代化经济、贸易、金融中心的跨世纪工程,1
因此大量出现的是以前不曾遇到过的新情况、新问题,1
对此,0
浦东不是简单的采取“干一段时间，等积累了经验以后再制定法规条例”的做法,1
而是借鉴发达国家和深圳等特区的经验教训,1
聘请国内外有关专家学者,1
积极、及时地制定和推出法规性文件,1
使这些经济活动一出现就被纳入法制轨道,1
去年初浦东新区诞生的中国第一家医疗机构药品采购服务中心,0
正因为一开始就比较规范,1
运转至今,1
成交药品一亿多元,1
没有发现一例回扣,1
建筑是开发浦东的一项主要经济活动,1
这些年有数百家建筑公司、四千余个建筑工地遍布在这片热土上,1
为规范建筑行为,1
防止出现无序现象,1
新区管委会根据国家和上海市的有关规定,1
结合浦东开发实际,1
及时出台了一系列规范建设市场的文件,1
其中包括工程施工招投标管理办法、拆迁工作若干规定、整治违章建筑实施办法、通信设施及管线配套建设意见、建设工地施工环境管理暂行办法等,1
基本做到了每个环节都有明确而又具体的规定,1
建筑公司进区,1
有关部门先送上这些法规性文件,1
然后有专门队伍进行监督检查,1
尽管浦东新区制定的法规性文件有些比较“粗”,1
有些还只是暂行规定,1
有待在实践中逐步完善,1
但这种法制紧跟经济和社会活动的做法,0
受到了国内外投资者的好评,1
他们认为,0
到浦东新区投资办事有章法,1
讲规矩,1
利益能得到保障,1
海关统计表明,0
“八五”期间（一九九０年—一九九五年）,0
中国外商投资企业的进出口呈直线上升之势,1
出口年均增长百分之四十三点二,1
进口年均增长百分之三十八点六,1
去年实现进出口总值达一千零九十八点二亿美元,1
占全国进出口总值的比重由上年的百分之三十七提高到百分之三十九,1
外商投资企业在改善中国出口商品结构中发挥了显著作用,1
去年外商投资企业出口商品中,0
工业制成品占九成以上,1
达四百三十八点八亿美元,1
比上年增长了百分之三十六点七,1
明显高于全国平均水平,1
外商投资企业的出口商品仍以轻纺产品为主,1
其中,0
出口额最大的商品是服装,1
去年为七十六点八亿美元,1
而进口商品则以机械设备和工业原材料为主,1
中国十四个边境对外开放城市一九九五年经济建设取得可喜成果,1
据统计,0
这些城市去年完成国内生产总值一百九十多亿元,1
比开放前的一九九一年增长九成多,1
国务院于一九九二年先后批准了黑河、凭祥、珲春、伊宁、瑞丽等十四个边境城市为对外开放城市,1
同时还批准这些城市设立十四个边境经济合作区,1
三年多来,0
这些城市社会经济发展迅速,1
地方经济实力明显增强；经济年平均增长百分之十七,1
高于全国年平均增长速度,1
据介绍,0
这十四个城市的城市建设和合作区开发建设步伐加快,1
三年来,0
这些城市累计完成固定资产投资一百二十亿元,1
昔日边境城市的“楼不高，路不平、灯不明、水不清、通讯不畅”的状况已得到了改变。经济合作区内已开发二十二点六平方公里，引进“三资”企业二百八十七家,1
实际利用外资八点九亿美元,1
此外,0
还有内联企业五千一百家,1
已投产工业项目一百七十五个,1
中国建筑市场近年来对外开放步伐进一步加快,1
据初步统计,0
目前在中国境内承包工程的国外承包商已有一百三十七家,1
承包的工程达一百四十一项,1
其中最大规模的项目达二十七点七亿元；中外合资合作的建筑企业近二千家,1
中国建筑业对外开放始于八十年代,1
十几年来,0
已有美国、日本、法国、英国、德国、芬兰、意大利、新加坡、香港、台湾等十几个国家和地区的境外企业进入中国进行工程总承包或工程分包,1
世界上最大的二百二十五家国际承包商中,0
有十几家已进入中国,1
其中不少公司与中国公司合资合作进行建设,1
根据建设部的规定,1
凡属于国际金融组织贷款并由国际公开招标的工程全部由外国投资或赠款建设的工程,0
以及国内企业在技术上难以单独承包的中外合资建设工程,0
境外建筑企业在取得中国审批的外国企业承包工程资质证后,1
皆可进入中国境内承包建设项目,1
一九九五年九月建设部和外经贸部联合发布的《关于设立外商投资建筑业企业的若干规定》,0
使中国的建筑市场从允许境外企业到中国承包工程进入到允许境外企业到中国办合资建筑企业,1
“八五”（一九九一至一九九五年）期间,0
西藏金融体制改革坚持与全国框架一致、体制衔接的方针,1
顺利完成了西藏各级人民银行的分设工作,1
实现信贷资金使用从粗放型经营方式向集约型经营方式转变,1
去年,0
全区各项存款首次突破了年净增二十亿元大关,1
据中国人民银行西藏自治区分行行长索朗达吉介绍,0
“八五”期间,0
西藏自治区分行在全国率先撤销了人民银行县支行,1
中国农业银行西藏自治区分行于去年七月一日正式对外挂牌营业,1
实现了金融体制在框架上与全国一致,1
外汇体制改革实现了与全国接轨,1
结售制度和新的核销制度在西藏全面实施,1
有效地防止了外汇流失,1
去年全区各项存款和贷款的增幅远远高于经济发展速度,1
实现了年初金融工作会议提出的要求,1
西藏银行部门积极调整信贷结构,1
以确保农牧业生产等重点产业的投入,1
加大对工业、能源、交通、通信等建设的正常资金供应量,1
去年新增贷款十四点四一亿元,1
比上年增加八亿多元,1
农牧业生产贷款（包括扶贫贷款）比上年新增四点三八亿元；乡镇企业贷款增幅为百分之六十一点八三,1
到去年底,0
全区各项存款余额达七十一点六三亿元,1
比上年同期增长百分之四十一点七八,1
其中,0
城乡居民储蓄存款为十九点三七亿元,1
比上年同期增长百分之四十八点二,1
“八五”期间各项存款比“七五”（一九八六至一九九０年）末净增五十亿元,1
年平均增长百分之二十七点四九,1
在新增的储蓄存款中,0
定期存款占百分之七十二点一五,1
货币回笼的增加,0
为平抑全区物价发挥了作用,1
据中国人民银行统计,0
截至去年底,0
中国金融机构对三资企业的人民币贷款余额已达九百九十五点六亿元,1
这一数字比上年末增加二百零三点三亿元,1
增长百分之二十七点六,1
据了解,0
近几年,0
随着中国经济的不断发展和对外开放的不断深入,0
外商来华投资热情很高,1
投资项目和金额增长十分迅速,1
据统计,0
迄今中国已累计批准外商投资项目近二十五点九万个,1
实际使用外资金额一千三百五十四亿美元,1
目前,0
已有十二万多家外商投资企业在中国开业,1
而且这些已开业的外商投资企业绝大部分生产经营状况较好,1
据国家税务总局统计,0
去年全国外商投资企业和外国企业缴纳的所得税达七十五点六七亿元,1
比上年增长百分之五十七点一,1
据了解,0
在外商投资企业获得的人民币贷款中,0
有近一半是中国银行提供的,1
仅去年中国银行就累计向外商投资企业提供了六百九十多亿元的人民币贷款,1
另外还向外商投资企业发放外汇现汇贷款四十多亿美元,1
这些贷款重点支持基础原材料、化工、机械等行业,1
据统计,0
到去年底,0
中国银行向外商投资企业累计发放的外汇现汇贷款和人民币贷款达到二百一十亿美元和二千五百九十三亿元,1
人民币贷款余额已近四百五十四亿元,1
目前,0
约有十五万家外商投资企业在中国银行开立帐户,1
其中二万多家获得中国银行的贷款支持,1
据中国银行有关负责人透露,0
今年中国银行仍将继续发挥其在支持外商投资企业方面的主渠道作用,1
对投资企业的贷款规模将保持适度增长,1
贷款将向能源、交通、电力等基础设施产业倾斜,1
尤其以国外大公司在华设立的大中型企业为重点；此外,0
高技术、高科技、高出口、高利税的企业也将获得中国银行的贷款支持,1
经中国海关总署批准设立的上海海关驻崇明办事处于日前成立,1
并正式对外办理业务,1
崇明是中国第三大岛,1
具有优越的地理条件和悠久的历史,1
改革开放以来,0
崇明县的经济建设和对外开放发展迅猛,1
外商投资企业不断增多,1
进出口货物大量增加,1
是中国综合实力百强县之一,1
随着崇明海关办事处的设立,0
崇明县内的单位足不出岛就可以办理一切海关手续,1
这对进一步改善崇明县的投资环境,0
